Time Period,Sales,Marketing Expense
2011-01-01,397.0,486.64
2011-02-01,400.0,501.8
2011-03-01,498.0,437.09
2011-04-01,536.0,565.16
2011-05-01,596.0,744.15
2011-06-01,591.0,548.74
2011-07-01,651.0,650.21
2011-08-01,654.0,777.51
2011-09-01,509.0,547.11
2011-10-01,437.0,382.81
2011-11-01,406.0,551.56
2011-12-01,470.0,401.69
2012-01-01,428.0,370.97
2012-02-01,423.0,318.39
2012-03-01,507.0,477.39
2012-04-01,536.0,418.66
2012-05-01,610.0,429.68
2012-06-01,609.0,713.24
2012-07-01,687.0,658.22
2012-08-01,707.0,800.52
2012-09-01,509.0,640.45
2012-10-01,452.0,606.49
2012-11-01,412.0,426.88
2012-12-01,472.0,513.48
2013-01-01,454.0,300.29
2013-02-01,455.0,330.84
2013-03-01,568.0,444.04
2013-04-01,610.0,628.82
2013-05-01,706.0,620.36
2013-06-01,661.0,682.6
2013-07-01,767.0,684.64
2013-08-01,783.0,748.47
2013-09-01,583.0,668.46
2013-10-01,513.0,499.31
2013-11-01,481.0,401.92
2013-12-01,567.0,605.06
2014-01-01,525.0,429.73
2014-02-01,520.0,602.86
2014-03-01,587.0,596.15
2014-04-01,710.0,619.39
2014-05-01,793.0,758.31
2014-06-01,749.0,980.16
2014-07-01,871.0,905.1
2014-08-01,848.0,784.62
2014-09-01,640.0,718.98
2014-10-01,581.0,570.3
2014-11-01,519.0,527.6
2014-12-01,605.0,559.75
2014-12-31,463.4443359375,
2015-01-31,452.0300598144531,
2015-02-28,479.7779541015625,
2015-03-31,558.7777709960938,
2015-04-30,569.1397094726562,
2015-05-31,593.6432495117188,
2015-06-30,615.0291748046875,
2015-07-31,570.8450927734375,
2015-08-31,554.08251953125,
2015-09-30,526.5056762695312,
2015-10-31,455.661376953125,
2015-11-30,449.88922119140625,
2015-12-31,457.3461608886719,
2016-01-31,448.9409484863281,
2016-02-29,495.69036865234375,
2016-03-31,535.4847412109375,
2016-04-30,561.5082397460938,
2016-05-31,612.4844360351562,
2016-06-30,593.952880859375,
2016-07-31,582.0738525390625,
2016-08-31,571.559814453125,
2016-09-30,497.6542053222656,
2016-10-31,466.8665771484375,
2016-11-30,466.0724182128906,
